Trip;amount;amountInHomeCurrency;category;conversionRate;country;countryCode;datePaid;homeCurrency;localCurrency;notes;michael;paymentMethod;place;latitude;longitude;type;numberOfDays;excludeFromAvg;addToBudget;categoryIcon;categoryColor;paymentMethodIcon;paymentMethodColor;paidById
Columbia;5;5;Getränke;1;Vereinigte Staaten;US;25.07.2022;EUR;EUR;Redbull;5;Bar;;52,309;4,762;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;38;38;Transport;1;Vereinigte Staaten;US;25.07.2022;EUR;EUR;Bahn nach koln;38;Bar;;52,309;4,762;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;25000;5,55;Transport;4502,398;Kolumbien;CO;24.07.2022;EUR;COP;Flughafentransfer ;5,55;Bar;Bogotá;4,674;-74,117;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;60000;13,33;Transport;4502,398;Kolumbien;CO;24.07.2022;EUR;COP;Uber;13,33;Bar;Bogotá;4,666;-74,052;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;14;13,71;Getränke;1,021;Vereinigte Staaten;US;24.07.2022;EUR;USD;Bier gross;13,71;Bar;Houston;29,988;-95,343;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;50000;11,11;Getränke;4502,398;Kolumbien;CO;24.07.2022;EUR;COP;Bier;11,11;Bar;Bogotá;4,666;-74,052;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;25000;5,55;Restaurants;4502,398;Kolumbien;CO;24.07.2022;EUR;COP;Burger mcd;5,55;Bar;;4,698;-74,141;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;34;33,29;Restaurants;1,021;Vereinigte Staaten;US;24.07.2022;EUR;USD;Dinner Houston ;33,29;Bar;Houston;29,986;-95,333;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;6000;1,33;Andere Ausgaben;4502,398;Kolumbien;CO;23.07.2022;EUR;COP;Data claro;1,33;Bar;;4,673;-74,119;Expense;1;FALSCH;FALSCH;more;#FFB300;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;7;6,85;Transport;1,021;Kolumbien;CO;23.07.2022;EUR;USD;Uber;6,85;Bar;Bogotá;4,668;-74,053;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;14000;3,11;Restaurants;4502,398;Kolumbien;CO;23.07.2022;EUR;COP;Bäckerei ;3,11;Bar;Bogotá;4,673;-74,119;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;160000;35,77;Restaurants;4473,36;Kolumbien;CO;22.07.2022;EUR;COP;Beer und essen;35,77;Bar;Bogotá;4,674;-74,117;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;25000;5,59;Transport;4473,36;Kolumbien;CO;22.07.2022;EUR;COP;UBER nach scam.... ;5,59;Bar;Bogotá;4,63;-74,088;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;7000;1,56;Restaurants;4473,36;Kolumbien;CO;22.07.2022;EUR;COP;Enpenada;1,56;Bar;San Gil;6,554;-73,149;Expense;1;FALSCH;FALSCH;restaurant;#009688;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;103;101,18;Unterkünfte;1,018;Kolumbien;CO;22.07.2022;EUR;USD;Hilton bogota;101,18;Bar;Aratoca;6,745;-73,007;Expense;3;FALSCH;FALSCH;hotel;#DB4437;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;50000;11,18;Transport;4473,36;Kolumbien;CO;22.07.2022;EUR;COP;San Gil to Bogota bus;11,18;Bar;San Gil;6,554;-73,149;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;26000;5,81;Transport;4473,36;Kolumbien;CO;22.07.2022;EUR;COP;Taxi scam;5,81;Bar;Bogotá;4,629;-74,09;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;-15000;-3,35;Getränke;4473,36;Kolumbien;CO;22.07.2022;EUR;COP;Hostel bier;-3,35;Bar;San Gil;6,557;-73,134;Expense;1;FALSCH;FALSCH;local_bar;#673AB7;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;5000;1,12;Transport;4473,36;Kolumbien;CO;22.07.2022;EUR;COP;Taxi;1,12;Bar;San Gil;6,554;-73,149;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;200000;45,1;Sehenswürdigkeiten;4434,197;Kolumbien;CO;21.07.2022;EUR;COP;paragliding San gil;45,1;Bar;San Gil;6,557;-73,134;Expense;1;FALSCH;FALSCH;museum;#8BC34A;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
Columbia;10008;2,26;Transport;4434,197;Kolumbien;CO;21.07.2022;EUR;COP;TAXI;2,26;Bar;San Gil;6,557;-73,134;Expense;1;FALSCH;FALSCH;train;#EF6C00;payments;#039BE5;TzDIvqX95uay9R38TXwTKwYWOE13
